id,name,chain,volume,market_cap,floor_price,avg_price,sales,assets,owners
1,CLONE X,Ethereum,"169,068.26 ETH","429,065.52 ETH",19 ETH,11.6 ETH,,"19,188","8,873"
2,Mutant Ape Yacht Club,Ethereum,"308,185.49 ETH","508,493 ETH",25.79 ETH,10.72 ETH,,"18,583","12,292"
3,Bored Ape Yacht Club,Ethereum,"486,644.34 ETH","1,196,133.45 ETH",110.9 ETH,19.08 ETH,,"9,999","6,419"
4,Azuki,Ethereum,"177,880.51 ETH","334,568.23 ETH",26 ETH,8.2493 ETH,,"10,000","5,467"
5,alien frens,Ethereum,"24,305.94 ETH","26,325.53 ETH",2.65 ETH,0.881 ETH,,"10,000","6,779"
6,Kiwami,Ethereum,"13,895.19 ETH","11,380.58 ETH",0.489 ETH,0.6098 ETH,,"10,000","4,576"
7,CryptoPunks,Ethereum,"883,641.07 ETH","599,131.26 ETH",--,44.7 ETH,,"9,999","3,424"
8,World of Women Galaxy,Ethereum,"23,813.36 ETH","36,308.06 ETH",1.385 ETH,1.9016 ETH,,"20,931","11,059"
9,CyberBrokers,Ethereum,"27,016.71 ETH","54,847.79 ETH",4.4 ETH,2.7301 ETH,,"9,987","3,683"
10,mfers,Ethereum,"33,046.61 ETH","39,015.35 ETH",3.1 ETH,1.4148 ETH,,"10,021","5,340"
1,CryptoPunks,Ethereum,"883,641.07 ETH","599,131.26 ETH",--,44.7 ETH,,"9,999","3,424"
2,Bored Ape Yacht Club,Ethereum,"486,644.34 ETH","1,196,133.45 ETH",110.9 ETH,19.08 ETH,,"9,999","6,419"
3,Mutant Ape Yacht Club,Ethereum,"308,185.49 ETH","508,493 ETH",25.79 ETH,10.72 ETH,,"18,583","12,292"
4,Azuki,Ethereum,"177,880.51 ETH","334,568.23 ETH",26 ETH,8.2493 ETH,,"10,000","5,467"
5,CLONE X,Ethereum,"169,068.26 ETH","429,065.52 ETH",19 ETH,11.6 ETH,,"19,188","8,873"
6,WIN NFT HORSE,BSC,"444,312,535.54 BUSD","1,510,190,245.12 BUSD",274 BUSD,"57,702.93 BUSD",,"10,000",875
7,Doodles,Ethereum,"102,329.53 ETH","165,989.87 ETH",15.68 ETH,4.9077 ETH,,"10,000","4,631"
8,Meebits,Ethereum,"102,011.52 ETH","109,124.38 ETH",4.25 ETH,5.3954 ETH,,"20,000","6,198"
9,Cool Cats,Ethereum,"97,791.62 ETH","89,715.14 ETH",8.39 ETH,3.6155 ETH,,"9,941","5,385"
10,Bored Ape Kennel Club,Ethereum,"79,830.48 ETH","77,757.38 ETH",7.5 ETH,4.0717 ETH,,"9,602","5,511"
11,Loot (for Adventurers),Ethereum,"74,157.22 ETH","16,079.63 ETH",1.9 ETH,6.383 ETH,,"7,779","2,566"
12,Cryptoadz,Ethereum,"64,675.3 ETH","23,143.43 ETH",2.843 ETH,3.2822 ETH,,"7,014","3,997"
13,World of Women,Ethereum,"64,403.53 ETH","89,361.05 ETH",8.69 ETH,2.7754 ETH,,"10,000","5,323"
14,Genesis StarSharks Mystery Box,BSC,"197,246,499.33 BUSD","88,209,389.04 BUSD",450 BUSD,"15,478.81 BUSD",,"10,000",339
15,CyberKongz,Ethereum,"53,811.54 ETH","25,089.13 ETH",5 ETH,8.7684 ETH,,"5,000","2,376"
16,Pudgy Penguins,Ethereum,"52,482.71 ETH","27,948.82 ETH",2.12 ETH,1.508 ETH,,"8,888","4,362"
17,HAPE Prime,Ethereum,"52,307.41 ETH","12,539.22 ETH",1.283 ETH,5.8055 ETH,,"8,192","5,409"
18,Veefriends,Ethereum,"49,050.47 ETH","178,174.91 ETH",15 ETH,11.94 ETH,,"10,255","5,249"
19,0n1 Force,Ethereum,"48,101.15 ETH","6,483.27 ETH",0.66 ETH,2.403 ETH,,"7,777","4,303"
20,MekaVerse,Ethereum,"48,071.68 ETH","6,882.84 ETH",0.68 ETH,3.6101 ETH,,"8,888","4,774"
21,NFT Worlds,Ethereum,"42,942 ETH","95,939.35 ETH",8.8 ETH,2.3124 ETH,,"10,000",810
22,Hashmasks,Ethereum,"41,826.45 ETH","12,694.82 ETH",0.49 ETH,2.0615 ETH,,"16,365","5,123"
23,Karafuru,Ethereum,"39,249.83 ETH","17,122.02 ETH",2.8399 ETH,3.9332 ETH,,"5,554","3,682"
24,Invisible Friends,Ethereum,"36,945.62 ETH","39,402.09 ETH",6.45 ETH,8.578 ETH,,"5,000","4,117"
25,Creature World,Ethereum,"34,871.8 ETH","6,947.16 ETH",0.62 ETH,1.3839 ETH,,"10,000","6,230"
1,CryptoPunks,Ethereum,"883,641.07 ETH","599,131.26 ETH",--,44.7 ETH,,"9,999","3,424"
2,Bored Ape Yacht Club,Ethereum,"486,644.34 ETH","1,196,133.45 ETH",110.9 ETH,19.08 ETH,,"9,999","6,419"
3,Mutant Ape Yacht Club,Ethereum,"308,185.49 ETH","508,493 ETH",25.79 ETH,10.72 ETH,,"18,583","12,292"
4,Azuki,Ethereum,"177,880.51 ETH","334,568.23 ETH",26 ETH,8.2493 ETH,,"10,000","5,467"
5,CLONE X,Ethereum,"169,068.26 ETH","429,065.52 ETH",19 ETH,11.6 ETH,,"19,188","8,873"
6,WIN NFT HORSE,BSC,"444,312,535.54 BUSD","1,510,190,245.12 BUSD",274 BUSD,"57,702.93 BUSD",,"10,000",875
7,Doodles,Ethereum,"102,329.53 ETH","165,989.87 ETH",15.68 ETH,4.9077 ETH,,"10,000","4,631"
8,Meebits,Ethereum,"102,011.52 ETH","109,124.38 ETH",4.25 ETH,5.3954 ETH,,"20,000","6,198"
9,Cool Cats,Ethereum,"97,791.62 ETH","89,715.14 ETH",8.39 ETH,3.6155 ETH,,"9,941","5,385"
10,Bored Ape Kennel Club,Ethereum,"79,830.48 ETH","77,757.38 ETH",7.5 ETH,4.0717 ETH,,"9,602","5,511"
11,Loot (for Adventurers),Ethereum,"74,157.22 ETH","16,079.63 ETH",1.9 ETH,6.383 ETH,,"7,779","2,566"
12,Cryptoadz,Ethereum,"64,675.3 ETH","23,143.43 ETH",2.843 ETH,3.2822 ETH,,"7,014","3,997"
13,World of Women,Ethereum,"64,403.53 ETH","89,361.05 ETH",8.69 ETH,2.7754 ETH,,"10,000","5,323"
14,Genesis StarSharks Mystery Box,BSC,"197,246,499.33 BUSD","88,209,389.04 BUSD",450 BUSD,"15,478.81 BUSD",,"10,000",339
15,CyberKongz,Ethereum,"53,811.54 ETH","25,089.13 ETH",5 ETH,8.7684 ETH,,"5,000","2,376"
16,Pudgy Penguins,Ethereum,"52,482.71 ETH","27,948.82 ETH",2.12 ETH,1.508 ETH,,"8,888","4,362"
17,HAPE Prime,Ethereum,"52,307.41 ETH","12,539.22 ETH",1.283 ETH,5.8055 ETH,,"8,192","5,409"
18,Veefriends,Ethereum,"49,050.47 ETH","178,174.91 ETH",15 ETH,11.94 ETH,,"10,255","5,249"
19,0n1 Force,Ethereum,"48,101.15 ETH","6,483.27 ETH",0.66 ETH,2.403 ETH,,"7,777","4,303"
20,MekaVerse,Ethereum,"48,071.68 ETH","6,882.84 ETH",0.68 ETH,3.6101 ETH,,"8,888","4,774"
21,NFT Worlds,Ethereum,"42,942 ETH","95,939.35 ETH",8.8 ETH,2.3124 ETH,,"10,000",810
22,Hashmasks,Ethereum,"41,826.45 ETH","12,694.82 ETH",0.49 ETH,2.0615 ETH,,"16,365","5,123"
23,Karafuru,Ethereum,"39,249.83 ETH","17,122.02 ETH",2.8399 ETH,3.9332 ETH,,"5,554","3,682"
24,Invisible Friends,Ethereum,"36,945.62 ETH","39,402.09 ETH",6.45 ETH,8.578 ETH,,"5,000","4,117"
25,Creature World,Ethereum,"34,871.8 ETH","6,947.16 ETH",0.62 ETH,1.3839 ETH,,"10,000","6,230"
26,PhantaBear,Ethereum,"33,739.25 ETH","8,439.18 ETH",0.79 ETH,1.9732 ETH,,"10,000","5,192"
27,mfers,Ethereum,"33,046.61 ETH","39,015.35 ETH",3.1 ETH,1.4148 ETH,,"10,021","5,340"
28,Fluf World,Ethereum,"33,029.29 ETH","41,409.9 ETH",3.7 ETH,1.7368 ETH,,"9,999","3,692"
29,CyberKongz VX,Ethereum,"32,041.59 ETH","22,514.64 ETH",1.25 ETH,1.5662 ETH,,"14,825","2,937"
30,Prime Ape Planet,Ethereum,"29,365.78 ETH","3,160.87 ETH",0.288 ETH,1.9834 ETH,,"7,979","5,029"
31,3Landers,Ethereum,"29,353.47 ETH","20,772 ETH",1.95 ETH,1.6942 ETH,,"10,000","5,598"
32,The Doge Pound,Ethereum,"28,888.2 ETH","7,551.02 ETH",0.59 ETH,1.5176 ETH,,"10,000","5,538"
33,Lazy Lions,Ethereum,"27,978.5 ETH","15,080.23 ETH",1.2487 ETH,1.0631 ETH,,"10,079","5,115"
34,CyberBrokers,Ethereum,"27,016.71 ETH","54,847.79 ETH",4.4 ETH,2.7301 ETH,,"9,987","3,683"
35,Zipcy's SuperNormal,Ethereum,"26,073.3 ETH","3,679.74 ETH",0.355 ETH,2.252 ETH,,"8,888","4,526"
36,Kaiju Kingz,Ethereum,"26,016.54 ETH","11,903.14 ETH",1.1 ETH,3.1727 ETH,,"5,811","3,298"
37,DeadFellaz,Ethereum,"25,908.62 ETH","22,084.52 ETH",2.375 ETH,1.0423 ETH,,"9,999","6,195"
38,VOX,Ethereum,"24,544.5 ETH","19,617.82 ETH",0.668 ETH,1.3523 ETH,,"8,888","3,408"
39,alien frens,Ethereum,"24,305.94 ETH","26,325.53 ETH",2.65 ETH,0.881 ETH,,"10,000","6,779"
40,World of Women Galaxy,Ethereum,"23,813.36 ETH","36,308.06 ETH",1.385 ETH,1.9016 ETH,,"20,931","11,059"
41,Capsule House,Ethereum,"23,581.44 ETH","16,422.63 ETH",1.3 ETH,1.0378 ETH,,"10,000","3,876"
42,SupDucks,Ethereum,"23,067.77 ETH","10,635.02 ETH",0.97 ETH,1.2281 ETH,,"10,001","3,596"
43,Sneaky Vampire Syndicate,Ethereum,"22,299.96 ETH","4,268.21 ETH",0.445 ETH,1.4092 ETH,,"8,887","1,372"
1,CryptoPunks,Ethereum,"883,641.07 ETH","599,131.26 ETH",--,44.7 ETH,,"9,999","3,424"
2,Bored Ape Yacht Club,Ethereum,"486,644.34 ETH","1,196,133.45 ETH",110.9 ETH,19.08 ETH,,"9,999","6,419"
3,Mutant Ape Yacht Club,Ethereum,"308,185.49 ETH","508,493 ETH",25.79 ETH,10.72 ETH,,"18,583","12,292"
4,Azuki,Ethereum,"177,880.51 ETH","334,568.23 ETH",26 ETH,8.2493 ETH,,"10,000","5,467"
5,CLONE X,Ethereum,"169,068.26 ETH","429,065.52 ETH",19 ETH,11.6 ETH,,"19,188","8,873"
6,WIN NFT HORSE,BSC,"444,312,535.54 BUSD","1,510,190,245.12 BUSD",274 BUSD,"57,702.93 BUSD",,"10,000",875
7,Doodles,Ethereum,"102,329.53 ETH","165,989.87 ETH",15.68 ETH,4.9077 ETH,,"10,000","4,631"
8,Meebits,Ethereum,"102,011.52 ETH","109,124.38 ETH",4.25 ETH,5.3954 ETH,,"20,000","6,198"
9,Cool Cats,Ethereum,"97,791.62 ETH","89,715.14 ETH",8.39 ETH,3.6155 ETH,,"9,941","5,385"
10,Bored Ape Kennel Club,Ethereum,"79,830.48 ETH","77,757.38 ETH",7.5 ETH,4.0717 ETH,,"9,602","5,511"
11,Loot (for Adventurers),Ethereum,"74,157.22 ETH","16,079.63 ETH",1.9 ETH,6.383 ETH,,"7,779","2,566"
12,Cryptoadz,Ethereum,"64,675.3 ETH","23,143.43 ETH",2.843 ETH,3.2822 ETH,,"7,014","3,997"
13,World of Women,Ethereum,"64,403.53 ETH","89,361.05 ETH",8.69 ETH,2.7754 ETH,,"10,000","5,323"
14,Genesis StarSharks Mystery Box,BSC,"197,246,499.33 BUSD","88,209,389.04 BUSD",450 BUSD,"15,478.81 BUSD",,"10,000",339
15,CyberKongz,Ethereum,"53,811.54 ETH","25,089.13 ETH",5 ETH,8.7684 ETH,,"5,000","2,376"
16,Pudgy Penguins,Ethereum,"52,482.71 ETH","27,948.82 ETH",2.12 ETH,1.508 ETH,,"8,888","4,362"
17,HAPE Prime,Ethereum,"52,307.41 ETH","12,539.22 ETH",1.283 ETH,5.8055 ETH,,"8,192","5,409"
18,Veefriends,Ethereum,"49,050.47 ETH","178,174.91 ETH",15 ETH,11.94 ETH,,"10,255","5,249"
19,0n1 Force,Ethereum,"48,101.15 ETH","6,483.27 ETH",0.66 ETH,2.403 ETH,,"7,777","4,303"
20,MekaVerse,Ethereum,"48,071.68 ETH","6,882.84 ETH",0.68 ETH,3.6101 ETH,,"8,888","4,774"
21,NFT Worlds,Ethereum,"42,942 ETH","95,939.35 ETH",8.8 ETH,2.3124 ETH,,"10,000",810
22,Hashmasks,Ethereum,"41,826.45 ETH","12,694.82 ETH",0.49 ETH,2.0615 ETH,,"16,365","5,123"
23,Karafuru,Ethereum,"39,249.83 ETH","17,122.02 ETH",2.8399 ETH,3.9332 ETH,,"5,554","3,682"
24,Invisible Friends,Ethereum,"36,945.62 ETH","39,402.09 ETH",6.45 ETH,8.578 ETH,,"5,000","4,117"
25,Creature World,Ethereum,"34,871.8 ETH","6,947.16 ETH",0.62 ETH,1.3839 ETH,,"10,000","6,230"
26,PhantaBear,Ethereum,"33,739.25 ETH","8,439.18 ETH",0.79 ETH,1.9732 ETH,,"10,000","5,192"
27,mfers,Ethereum,"33,046.61 ETH","39,015.35 ETH",3.1 ETH,1.4148 ETH,,"10,021","5,340"
28,Fluf World,Ethereum,"33,029.29 ETH","41,409.9 ETH",3.7 ETH,1.7368 ETH,,"9,999","3,692"
29,CyberKongz VX,Ethereum,"32,041.59 ETH","22,514.64 ETH",1.25 ETH,1.5662 ETH,,"14,825","2,937"
30,Prime Ape Planet,Ethereum,"29,365.78 ETH","3,160.87 ETH",0.288 ETH,1.9834 ETH,,"7,979","5,029"
31,3Landers,Ethereum,"29,353.47 ETH","20,772 ETH",1.95 ETH,1.6942 ETH,,"10,000","5,598"
32,The Doge Pound,Ethereum,"28,888.2 ETH","7,551.02 ETH",0.59 ETH,1.5176 ETH,,"10,000","5,538"
33,Lazy Lions,Ethereum,"27,978.5 ETH","15,080.23 ETH",1.2487 ETH,1.0631 ETH,,"10,079","5,115"
34,CyberBrokers,Ethereum,"27,016.71 ETH","54,847.79 ETH",4.4 ETH,2.7301 ETH,,"9,987","3,683"
35,Zipcy's SuperNormal,Ethereum,"26,073.3 ETH","3,679.74 ETH",0.355 ETH,2.252 ETH,,"8,888","4,526"
36,Kaiju Kingz,Ethereum,"26,016.54 ETH","11,903.14 ETH",1.1 ETH,3.1727 ETH,,"5,811","3,298"
37,DeadFellaz,Ethereum,"25,908.62 ETH","22,084.52 ETH",2.375 ETH,1.0423 ETH,,"9,999","6,195"
38,VOX,Ethereum,"24,544.5 ETH","19,617.82 ETH",0.668 ETH,1.3523 ETH,,"8,888","3,408"
39,alien frens,Ethereum,"24,305.94 ETH","26,325.53 ETH",2.65 ETH,0.881 ETH,,"10,000","6,779"
40,World of Women Galaxy,Ethereum,"23,813.36 ETH","36,308.06 ETH",1.385 ETH,1.9016 ETH,,"20,931","11,059"
41,Capsule House,Ethereum,"23,581.44 ETH","16,422.63 ETH",1.3 ETH,1.0378 ETH,,"10,000","3,876"
42,SupDucks,Ethereum,"23,067.77 ETH","10,635.02 ETH",0.97 ETH,1.2281 ETH,,"10,001","3,596"
43,Sneaky Vampire Syndicate,Ethereum,"22,299.96 ETH","4,268.21 ETH",0.445 ETH,1.4092 ETH,,"8,887","1,372"
44,Gutter Cat Gang,Ethereum,"21,779.66 ETH","24,128.72 ETH",7.22 ETH,2.226 ETH,,"3,000","1,796"
45,CryptoSkulls,Ethereum,"20,308.77 ETH","9,631.79 ETH",0.879 ETH,0.9191 ETH,,"9,997","4,150"
46,Jungle Freaks Genesis,Ethereum,"18,642.25 ETH","2,783.95 ETH",0.259 ETH,0.8768 ETH,,"9,999","1,965"
47,Galactic Apes,Ethereum,"18,093.18 ETH",697.93 ETH,0.0685 ETH,0.8485 ETH,,"9,998","3,700"
48,CryptoBatz by Ozzy Osbourne,Ethereum,"16,843.11 ETH","2,299.7 ETH",0.179 ETH,1.5294 ETH,,"9,666","6,626"
49,MURI by Haus,Ethereum,"16,468.77 ETH","10,241 ETH",0.795 ETH,0.8772 ETH,,"10,000","6,318"
50,Mutant Cats,Ethereum,"16,285.71 ETH","1,939.22 ETH",0.175 ETH,0.6943 ETH,,"9,999","1,522"
51,Robotos,Ethereum,"15,160.76 ETH","6,269.31 ETH",0.535 ETH,0.623 ETH,,"9,998","5,677"
52,HYPEBEARS,Ethereum,"15,006.45 ETH",872.32 ETH,0.085 ETH,0.9217 ETH,,"9,999","4,668"
53,Kiwami,Ethereum,"13,895.19 ETH","11,380.58 ETH",0.489 ETH,0.6098 ETH,,"10,000","4,576"
54,Summoners Arena Genesis Chest,BSC,"44,553,001.53 BUSD","1,439,734.96 BUSD",37.7 BUSD,"2,599.97 BUSD",,"15,000","3,101"
55,CryptoMories,Ethereum,"13,703.6 ETH","6,449.59 ETH",0.639 ETH,0.5271 ETH,,"10,000","5,266"
56,C-01,Ethereum,"13,635.31 ETH","1,810 ETH",0.185 ETH,1.1015 ETH,,"8,888","4,904"
57,Koala Intelligence Agency,Ethereum,"12,985.72 ETH",565.11 ETH,0.05 ETH,0.6651 ETH,,"10,000","5,027"
58,Crypto Bull Society,Ethereum,"12,815.73 ETH","3,615.57 ETH",0.439 ETH,1.2888 ETH,,"7,777","4,286"
59,The Heart Project,Ethereum,"12,379.24 ETH","2,459.37 ETH",0.21 ETH,0.5209 ETH,,"9,884","5,838"
60,Forgotten Runes Wizards Cult,Ethereum,"12,314.84 ETH","23,630.06 ETH",2.3 ETH,0.8427 ETH,,"9,393","2,843"
61,Crypto Chicks,Ethereum,"12,314.73 ETH","4,568.89 ETH",0.33 ETH,0.5515 ETH,,"9,999","4,483"
62,Sevens,Ethereum,"12,156.96 ETH","1,474.26 ETH",0.1317 ETH,1.0419 ETH,,"7,000","3,281"
63,Peaceful Groupies,Ethereum,"11,925.02 ETH","1,798.07 ETH",0.1642 ETH,0.5656 ETH,,"10,000","2,291"
64,FVCK_CRYSTAL//,Ethereum,"11,254.01 ETH","6,392.4 ETH",1.1 ETH,2.3099 ETH,,"4,169","2,288"
65,CryptoDads,Ethereum,"11,061.63 ETH","1,596.1 ETH",0.118 ETH,0.6911 ETH,,"10,000","7,155"
66,ZombieClub Token,Ethereum,"10,946.22 ETH","17,521.1 ETH",1.95 ETH,2.5671 ETH,,"6,666","3,569"
67,Animetas,Ethereum,"10,878.29 ETH","1,564.97 ETH",0.12 ETH,0.5609 ETH,,"10,101","4,121"
68,Tasty Bones,Ethereum,"10,735.06 ETH","2,939.7 ETH",0.46 ETH,1.4623 ETH,,"5,049","3,432"
69,the littles,Ethereum,"10,650.46 ETH","3,435.38 ETH",0.31 ETH,0.5964 ETH,,"10,000","5,563"
70,Dour Darcels,Ethereum,"10,159.66 ETH","6,713.54 ETH",0.47 ETH,0.5561 ETH,,"10,000","4,878"
71,WonderPals,Ethereum,"9,935.16 ETH","4,397.69 ETH",0.348 ETH,0.8698 ETH,,"10,000","6,824"
72,Gambling Apes,Ethereum,"9,761.6 ETH","3,279.25 ETH",0.385 ETH,0.6144 ETH,,"7,777","3,704"
73,Quirkies,Ethereum,"9,672.65 ETH","16,463.65 ETH",2.69 ETH,0.7 ETH,,"5,000","2,186"
74,OnChainMonkey,Ethereum,"9,550.1 ETH","17,554.65 ETH",1.4 ETH,0.5626 ETH,,"9,500","3,020"
75,ALPACADABRAZ,Ethereum,"9,484.24 ETH","3,756.76 ETH",0.312 ETH,0.627 ETH,,"9,669","4,429"
76,SlimHoods,Ethereum,"9,466.03 ETH","2,465.55 ETH",0.53 ETH,0.6987 ETH,,"5,000","2,845"
77,The Wicked Craniums,Ethereum,"9,244.53 ETH","2,109.7 ETH",0.1 ETH,0.405 ETH,,"10,762","4,452"
78,Bored Bunny,Ethereum,"9,171.38 ETH",494.94 ETH,0.076 ETH,0.931 ETH,,"4,999","3,701"
1,CryptoPunks,Ethereum,"883,641.07 ETH","599,131.26 ETH",--,44.7 ETH,,"9,999","3,424"
2,Bored Ape Yacht Club,Ethereum,"486,644.34 ETH","1,196,133.45 ETH",110.9 ETH,19.08 ETH,,"9,999","6,419"
3,Mutant Ape Yacht Club,Ethereum,"308,185.49 ETH","508,493 ETH",25.79 ETH,10.72 ETH,,"18,583","12,292"
4,Azuki,Ethereum,"177,880.51 ETH","334,568.23 ETH",26 ETH,8.2493 ETH,,"10,000","5,467"
5,CLONE X,Ethereum,"169,068.26 ETH","429,065.52 ETH",19 ETH,11.6 ETH,,"19,188","8,873"
6,WIN NFT HORSE,BSC,"444,312,535.54 BUSD","1,510,190,245.12 BUSD",274 BUSD,"57,702.93 BUSD",,"10,000",875
7,Doodles,Ethereum,"102,329.53 ETH","165,989.87 ETH",15.68 ETH,4.9077 ETH,,"10,000","4,631"
8,Meebits,Ethereum,"102,011.52 ETH","109,124.38 ETH",4.25 ETH,5.3954 ETH,,"20,000","6,198"
9,Cool Cats,Ethereum,"97,791.62 ETH","89,715.14 ETH",8.39 ETH,3.6155 ETH,,"9,941","5,385"
10,Bored Ape Kennel Club,Ethereum,"79,830.48 ETH","77,757.38 ETH",7.5 ETH,4.0717 ETH,,"9,602","5,511"
11,Loot (for Adventurers),Ethereum,"74,157.22 ETH","16,079.63 ETH",1.9 ETH,6.383 ETH,,"7,779","2,566"
12,Cryptoadz,Ethereum,"64,675.3 ETH","23,143.43 ETH",2.843 ETH,3.2822 ETH,,"7,014","3,997"
13,World of Women,Ethereum,"64,403.53 ETH","89,361.05 ETH",8.69 ETH,2.7754 ETH,,"10,000","5,323"
14,Genesis StarSharks Mystery Box,BSC,"197,246,499.33 BUSD","88,209,389.04 BUSD",450 BUSD,"15,478.81 BUSD",,"10,000",339
15,CyberKongz,Ethereum,"53,811.54 ETH","25,089.13 ETH",5 ETH,8.7684 ETH,,"5,000","2,376"
16,Pudgy Penguins,Ethereum,"52,482.71 ETH","27,948.82 ETH",2.12 ETH,1.508 ETH,,"8,888","4,362"
17,HAPE Prime,Ethereum,"52,307.41 ETH","12,539.22 ETH",1.283 ETH,5.8055 ETH,,"8,192","5,409"
18,Veefriends,Ethereum,"49,050.47 ETH","178,174.91 ETH",15 ETH,11.94 ETH,,"10,255","5,249"
19,0n1 Force,Ethereum,"48,101.15 ETH","6,483.27 ETH",0.66 ETH,2.403 ETH,,"7,777","4,303"
20,MekaVerse,Ethereum,"48,071.68 ETH","6,882.84 ETH",0.68 ETH,3.6101 ETH,,"8,888","4,774"
21,NFT Worlds,Ethereum,"42,942 ETH","95,939.35 ETH",8.8 ETH,2.3124 ETH,,"10,000",810
22,Hashmasks,Ethereum,"41,826.45 ETH","12,694.82 ETH",0.49 ETH,2.0615 ETH,,"16,365","5,123"
23,Karafuru,Ethereum,"39,249.83 ETH","17,122.02 ETH",2.8399 ETH,3.9332 ETH,,"5,554","3,682"
24,Invisible Friends,Ethereum,"36,945.62 ETH","39,402.09 ETH",6.45 ETH,8.578 ETH,,"5,000","4,117"
25,Creature World,Ethereum,"34,871.8 ETH","6,947.16 ETH",0.62 ETH,1.3839 ETH,,"10,000","6,230"
26,PhantaBear,Ethereum,"33,739.25 ETH","8,439.18 ETH",0.79 ETH,1.9732 ETH,,"10,000","5,192"
27,mfers,Ethereum,"33,046.61 ETH","39,015.35 ETH",3.1 ETH,1.4148 ETH,,"10,021","5,340"
28,Fluf World,Ethereum,"33,029.29 ETH","41,409.9 ETH",3.7 ETH,1.7368 ETH,,"9,999","3,692"
29,CyberKongz VX,Ethereum,"32,041.59 ETH","22,514.64 ETH",1.25 ETH,1.5662 ETH,,"14,825","2,937"
30,Prime Ape Planet,Ethereum,"29,365.78 ETH","3,160.87 ETH",0.288 ETH,1.9834 ETH,,"7,979","5,029"
31,3Landers,Ethereum,"29,353.47 ETH","20,772 ETH",1.95 ETH,1.6942 ETH,,"10,000","5,598"
32,The Doge Pound,Ethereum,"28,888.2 ETH","7,551.02 ETH",0.59 ETH,1.5176 ETH,,"10,000","5,538"
33,Lazy Lions,Ethereum,"27,978.5 ETH","15,080.23 ETH",1.2487 ETH,1.0631 ETH,,"10,079","5,115"
34,CyberBrokers,Ethereum,"27,016.71 ETH","54,847.79 ETH",4.4 ETH,2.7301 ETH,,"9,987","3,683"
35,Zipcy's SuperNormal,Ethereum,"26,073.3 ETH","3,679.74 ETH",0.355 ETH,2.252 ETH,,"8,888","4,526"
36,Kaiju Kingz,Ethereum,"26,016.54 ETH","11,903.14 ETH",1.1 ETH,3.1727 ETH,,"5,811","3,298"
37,DeadFellaz,Ethereum,"25,908.62 ETH","22,084.52 ETH",2.375 ETH,1.0423 ETH,,"9,999","6,195"
38,VOX,Ethereum,"24,544.5 ETH","19,617.82 ETH",0.668 ETH,1.3523 ETH,,"8,888","3,408"
39,alien frens,Ethereum,"24,305.94 ETH","26,325.53 ETH",2.65 ETH,0.881 ETH,,"10,000","6,779"
40,World of Women Galaxy,Ethereum,"23,813.36 ETH","36,308.06 ETH",1.385 ETH,1.9016 ETH,,"20,931","11,059"
41,Capsule House,Ethereum,"23,581.44 ETH","16,422.63 ETH",1.3 ETH,1.0378 ETH,,"10,000","3,876"
42,SupDucks,Ethereum,"23,067.77 ETH","10,635.02 ETH",0.97 ETH,1.2281 ETH,,"10,001","3,596"
43,Sneaky Vampire Syndicate,Ethereum,"22,299.96 ETH","4,268.21 ETH",0.445 ETH,1.4092 ETH,,"8,887","1,372"
44,Gutter Cat Gang,Ethereum,"21,779.66 ETH","24,128.72 ETH",7.22 ETH,2.226 ETH,,"3,000","1,796"
45,CryptoSkulls,Ethereum,"20,308.77 ETH","9,631.79 ETH",0.879 ETH,0.9191 ETH,,"9,997","4,150"
46,Jungle Freaks Genesis,Ethereum,"18,642.25 ETH","2,783.95 ETH",0.259 ETH,0.8768 ETH,,"9,999","1,965"
47,Galactic Apes,Ethereum,"18,093.18 ETH",697.93 ETH,0.0685 ETH,0.8485 ETH,,"9,998","3,700"
48,CryptoBatz by Ozzy Osbourne,Ethereum,"16,843.11 ETH","2,299.7 ETH",0.179 ETH,1.5294 ETH,,"9,666","6,626"
49,MURI by Haus,Ethereum,"16,468.77 ETH","10,241 ETH",0.795 ETH,0.8772 ETH,,"10,000","6,318"
50,Mutant Cats,Ethereum,"16,285.71 ETH","1,939.22 ETH",0.175 ETH,0.6943 ETH,,"9,999","1,522"
51,Robotos,Ethereum,"15,160.76 ETH","6,269.31 ETH",0.535 ETH,0.623 ETH,,"9,998","5,677"
52,HYPEBEARS,Ethereum,"15,006.45 ETH",872.32 ETH,0.085 ETH,0.9217 ETH,,"9,999","4,668"
53,Kiwami,Ethereum,"13,895.19 ETH","11,380.58 ETH",0.489 ETH,0.6098 ETH,,"10,000","4,576"
54,Summoners Arena Genesis Chest,BSC,"44,553,001.53 BUSD","1,439,734.96 BUSD",37.7 BUSD,"2,599.97 BUSD",,"15,000","3,101"
55,CryptoMories,Ethereum,"13,703.6 ETH","6,449.59 ETH",0.639 ETH,0.5271 ETH,,"10,000","5,266"
56,C-01,Ethereum,"13,635.31 ETH","1,810 ETH",0.185 ETH,1.1015 ETH,,"8,888","4,904"
57,Koala Intelligence Agency,Ethereum,"12,985.72 ETH",565.11 ETH,0.05 ETH,0.6651 ETH,,"10,000","5,027"
58,Crypto Bull Society,Ethereum,"12,815.73 ETH","3,615.57 ETH",0.439 ETH,1.2888 ETH,,"7,777","4,286"
59,The Heart Project,Ethereum,"12,379.24 ETH","2,459.37 ETH",0.21 ETH,0.5209 ETH,,"9,884","5,838"
